,Tarih,Tl,Dolar
0,2015-1,5387887,2.332538095238095
1,2015-2,4009240,2.4596400000000003
2,2015-3,3846028,2.5885
3,2015-4,3793126,2.6529285714285717
4,2015-5,5310126,2.6509105263157893
5,2015-6,4388952,2.7060181818181817
6,2015-7,6812092,2.6994545454545453
7,2015-8,4814635,2.8506809523809524
8,2015-9,4655575,3.00812
9,2015-10,5578293,2.9348571428571426
10,2015-11,4420253,2.876471428571429
11,2015-12,4727227,2.922478260869565
12,2016-1,6562029,3.012365
13,2016-2,5126970,2.9459571428571434
14,2016-3,5123590,2.8969434782608694
15,2016-4,6600491,2.8398476190476183
16,2016-5,5464484,2.9318571428571434
17,2016-6,5974290,2.9222363636363635
18,2016-7,7417065,2.9628777777777784
19,2016-8,6469797,2.9682
20,2016-9,7249706,2.9654222222222213
21,2016-10,5460967,3.0734904761904764
22,2016-11,5955266,3.2733227272727268
23,2016-12,8303763,3.4952227272727274
24,2017-1,6527953,3.741613636363637
25,2017-2,6814879,3.678985
26,2017-3,9018343,3.672547826086957
27,2017-4,7016847,3.6604
28,2017-5,7341938,3.5702714285714285
29,2017-6,10172891,3.5253400000000004
30,2017-7,9034747,3.5662809523809527
31,2017-8,9376340,3.5188
32,2017-9,9976291,3.474294736842105
33,2017-10,7783339,3.6688727272727273
34,2017-11,8130196,3.886036363636364
35,2017-12,11450467,3.8546238095238103
36,2018-1,8694933,3.779122727272727
37,2018-2,9800062,3.78483
38,2018-3,12055332,3.887854545454545
39,2018-4,10114983,4.061344999999999
40,2018-5,10403070,4.422081818181818
41,2018-6,14013108,4.63655
42,2018-7,11987474,4.756554545454545
43,2018-8,15337565,5.740522222222222
44,2018-9,12673650,6.378340000000001
45,2018-10,11528651,5.869927272727272
46,2018-11,15657010,5.3831727272727266
47,2018-12,10997771,5.315690476190476
48,2019-1,10805971,5.379072727272726
49,2019-2,13363513,5.27153
50,2019-3,17385393,5.451742857142857
51,2019-4,12970783,5.746104761904763
52,2019-5,18236449,6.060359090909091
53,2019-6,13598581,5.8224
54,2019-7,15553639,5.682395454545453
55,2019-8,20510330,5.634905555555557
56,2019-9,16029184,5.723090476190476
57,2019-10,14890216,5.79495909090909
58,2019-11,21403024,5.741547619047619
59,2019-12,15525460,5.84815
60,2020-1,20631677,5.928827272727273
61,2020-2,16257638,6.05537
62,2020-3,14887755,6.325804545454545
63,2020-4,14742236,6.831252380952381
64,2020-5,23686392,6.964488235294117
65,2020-6,19687940,6.821090909090909
66,2020-7,27691378,6.8634523809523795
67,2020-8,21681003,7.26525
68,2020-9,24007046,7.521322727272728
69,2020-10,29578499,7.888071428571428
70,2020-11,27765955,8.017761904761906
71,2020-12,6369224,7.845384615384615
